Scenario_ID,Site_Size,Soil_Type,SBC,Color,N_Value,GW_Depth,Col_Load,Settlement_mm,Seismic_Base_Shear_kN,Hydrostatic_kPa,Concrete_m3,Steel_kg,Excavation_m3,Total_Project_Cost_INR,Found_Type,Slab_Thickness_mm
0,619x629,Murum,250,#d35400,25,3.6876750224026535,913,0.52,2400.0,61.92,871.42,69713.7,1621.42,11630201.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,2.3877402268838237,1496,0.52,2400.0,74.68,871.42,69713.7,1621.42,11630201.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,3.993244287627824,1253,0.52,2400.0,58.93,871.42,69713.7,1621.42,11630201.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,4.1904913566234905,1565,0.52,2400.0,56.99,871.42,69713.7,1621.42,11630201.29,Standard Slab,580.9475019311126
0,619x629,Anomaly Pocket,550,#c0392b,55,7.600087899043677,1459,2.27,2400.0,23.54,464.76,37180.64,1214.76,6343579.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,2.9439393391407034,1351,0.37,2400.0,69.22,464.76,37180.64,1214.76,6343579.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,7.057410459276315,1337,0.37,2400.0,28.87,464.76,37180.64,1214.76,6343579.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,7.38997648283366,1222,0.37,2400.0,25.6,464.76,37180.64,1214.76,6343579.02,Isolated Pad,309.83866769659335
0,619x629,Murum,250,#d35400,25,3.7733129755890165,1251,0.52,2400.0,61.08,871.42,69713.7,1621.42,11637791.29,Standard Slab,580.9475019311126
0,619x629,Anomaly Pocket,75,#c0392b,7,6.984724294404322,1307,0.31,2400.0,29.58,1278.08,102246.76,2028.08,16924413.56,Raft Slab,852.0563361656317
0,619x629,Anomaly Pocket,75,#c0392b,7,7.920273441544707,1206,0.31,2400.0,20.4,1278.08,102246.76,2028.08,16924413.56,Raft Slab,852.0563361656317
0,619x629,Anomaly Pocket,75,#c0392b,7,2.248121304818877,1132,0.31,2400.0,76.05,1278.08,102246.76,2028.08,16924413.56,Raft Slab,852.0563361656317
0,619x629,Murum,250,#d35400,25,3.2886889724844357,1187,0.52,2400.0,65.84,871.42,69713.7,1621.42,11637791.29,Standard Slab,580.9475019311126
0,619x629,Hard Rock,600,#7f8c8d,60,5.760234488486509,994,0.37,2400.0,41.59,464.76,37180.64,1214.76,6351169.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,4.529736764976028,1300,0.37,2400.0,53.66,464.76,37180.64,1214.76,6351169.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,7.651058959290215,1195,0.37,2400.0,23.04,464.76,37180.64,1214.76,6351169.02,Isolated Pad,309.83866769659335
0,619x629,Murum,250,#d35400,25,2.004320793162333,1200,0.52,2400.0,78.44,871.42,69713.7,1621.42,11645381.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,7.484351289874551,1185,0.52,2400.0,24.68,871.42,69713.7,1621.42,11645381.29,Standard Slab,580.9475019311126
0,619x629,Anomaly Pocket,75,#c0392b,7,1.8011748185045735,1253,0.31,2400.0,80.43,1278.08,102246.76,2028.08,16932003.56,Raft Slab,852.0563361656317
0,619x629,Murum,250,#d35400,25,4.21051712221729,1484,0.52,2400.0,56.79,871.42,69713.7,1621.42,11645381.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,7.285826170950827,1356,0.52,2400.0,26.63,871.42,69713.7,1621.42,11645381.29,Standard Slab,580.9475019311126
0,619x629,Hard Rock,600,#7f8c8d,60,5.498409150155554,1102,0.37,2400.0,44.16,464.76,37180.64,1214.76,6358759.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,1.7072463285286559,1063,0.37,2400.0,81.35,464.76,37180.64,1214.76,6358759.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,4.347967782242664,1429,0.37,2400.0,55.45,464.76,37180.64,1214.76,6358759.02,Isolated Pad,309.83866769659335
0,619x629,Murum,250,#d35400,25,6.97075344433301,1327,0.52,2400.0,29.72,871.42,69713.7,1621.42,11652971.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,1.8272244133335172,936,0.52,2400.0,80.17,871.42,69713.7,1621.42,11652971.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,5.807789559364024,1446,0.52,2400.0,41.13,871.42,69713.7,1621.42,11652971.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,5.628238368416399,1306,0.52,2400.0,42.89,871.42,69713.7,1621.42,11652971.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,7.138436328361235,1278,0.52,2400.0,28.07,871.42,69713.7,1621.42,11652971.29,Standard Slab,580.9475019311126
0,619x629,Hard Rock,600,#7f8c8d,60,2.227962925152708,838,0.37,2400.0,76.24,464.76,37180.64,1214.76,6366349.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,5.074168541488522,1586,0.37,2400.0,48.32,464.76,37180.64,1214.76,6366349.02,Isolated Pad,309.83866769659335
0,619x629,Anomaly Pocket,550,#c0392b,55,3.490574143133036,996,2.27,2400.0,63.86,464.76,37180.64,1214.76,6366349.02,Isolated Pad,309.83866769659335
0,619x629,Murum,250,#d35400,25,6.544197726452725,1190,0.52,2400.0,33.9,871.42,69713.7,1621.42,11660561.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,6.249131872046859,959,0.52,2400.0,36.8,871.42,69713.7,1621.42,11660561.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,2.0785498215755176,1022,0.52,2400.0,77.71,871.42,69713.7,1621.42,11660561.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,1.668541483313342,930,0.52,2400.0,81.73,871.42,69713.7,1621.42,11660561.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,6.599188138875643,880,0.52,2400.0,33.36,871.42,69713.7,1621.42,11660561.29,Standard Slab,580.9475019311126
0,619x629,Hard Rock,600,#7f8c8d,60,4.910890968944507,1547,0.37,2400.0,49.92,464.76,37180.64,1214.76,6373939.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,4.573468707867441,1094,0.37,2400.0,53.23,464.76,37180.64,1214.76,6373939.02,Isolated Pad,309.83866769659335
0,619x629,Hard Rock,600,#7f8c8d,60,3.482058290642682,987,0.37,2400.0,63.94,464.76,37180.64,1214.76,6373939.02,Isolated Pad,309.83866769659335
0,619x629,Murum,250,#d35400,25,4.987085461345133,984,0.52,2400.0,49.18,871.42,69713.7,1621.42,11668151.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,3.7247693749130844,997,0.52,2400.0,61.56,871.42,69713.7,1621.42,11668151.29,Standard Slab,580.9475019311126
0,619x629,Murum,250,#d35400,25,4.1785699523523245,931,0.52,2400.0,57.11,871.42,69713.7,1621.42,11668151.29,Standard Slab,580.9475019311126
